Domain,Entity,Flow Name,Archetype,tRPC Procedure,Type,Procedure Wrapper,Permissions,Permission Mode,Roles,UI Entry Paths,Business Purpose,Implementation Status,Known Issues,Router File
Calendar,Events,Get Events By Entity,View/Search,calendar.getEventsByEntity,query,publicProcedure,(none),all,All Authenticated Users,/calendar,Get events linked to entity,API-only,,server/routers/calendar.ts
Calendar,Events,Get My Events,View/Search,calendar.getMyEvents,query,protectedProcedure,(none),all,All Authenticated Users,/calendar,Get events assigned to user,API-only,,server/routers/calendar.ts
Calendar,Events,Get Event History,View/Search,calendar.getEventHistory,query,publicProcedure,(none),all,All Authenticated Users,/calendar/:id,Get event modification history,API-only,,server/routers/calendar.ts
Calendar,Events,Get Events By Client,View/Search,calendar.getEventsByClient,query,publicProcedure,(none),all,All Authenticated Users,/clients/:id/calendar,Get events by client ID,Client-wired,,server/routers/calendar.ts
Calendar,Recurrence,Get Recurrence Rule,View/Search,calendarRecurrence.getRecurrenceRule,query,publicProcedure,(none),all,All Authenticated Users,/calendar/:id,Get recurrence rule for event,API-only,,server/routers/calendarRecurrence.ts
Calendar,Recurrence,Get Instances,View/Search,calendarRecurrence.getInstances,query,publicProcedure,(none),all,All Authenticated Users,/calendar/:id,Get instances of recurring event,API-only,,server/routers/calendarRecurrence.ts
Calendar,Recurrence,Modify Instance,Update,calendarRecurrence.modifyInstance,mutation,publicProcedure,(none),all,All Authenticated Users,/calendar/:id,Modify specific instance,API-only,,server/routers/calendarRecurrence.ts
Calendar,Recurrence,Cancel Instance,Action,calendarRecurrence.cancelInstance,mutation,publicProcedure,(none),all,All Authenticated Users,/calendar/:id,Cancel specific instance,API-only,,server/routers/calendarRecurrence.ts
Calendar,Recurrence,Update Rule,Update,calendarRecurrence.updateRecurrenceRule,mutation,publicProcedure,(none),all,All Authenticated Users,/calendar/:id,Update recurrence rule,API-only,,server/routers/calendarRecurrence.ts
Calendar,Invitations,Create Invitation,Create,calendarInvitations.createInvitation,mutation,publicProcedure,(none),all,All Authenticated Users,/calendar/:id,Create calendar invitation,API-only,,server/routers/calendarInvitations.ts
Calendar,Invitations,Send Invitation,Action,calendarInvitations.sendInvitation,mutation,publicProcedure,(none),all,All Authenticated Users,/calendar/:id,Send invitation to participant,API-only,,server/routers/calendarInvitations.ts
Calendar,Invitations,Respond To Invitation,Action,calendarInvitations.respondToInvitation,mutation,publicProcedure,(none),all,All Authenticated Users,/calendar/invitations,Respond to calendar invitation,Client-wired,,server/routers/calendarInvitations.ts
Calendar,Invitations,Get Pending Invitations,View/Search,calendarInvitations.getPendingInvitations,query,publicProcedure,(none),all,All Authenticated Users,/calendar/invitations,Get pending invitations for user,Client-wired,,server/routers/calendarInvitations.ts
Calendar,Invitations,Bulk Send Invitations,Action,calendarInvitations.bulkSendInvitations,mutation,publicProcedure,(none),all,All Authenticated Users,/calendar/:id,Send multiple invitations at once,Client-wired,,server/routers/calendarInvitations.ts
Calendar,Participants,Get Participants,View/Search,calendarParticipants.getParticipants,query,publicProcedure,(none),all,All Authenticated Users,/calendar/:id,Get participants for event,API-only,,server/routers/calendarParticipants.ts
Calendar,Participants,Add Participant,Create,calendarParticipants.addParticipant,mutation,publicProcedure,(none),all,All Authenticated Users,/calendar/:id,Add participant to event,API-only,,server/routers/calendarParticipants.ts
Calendar,Participants,Remove Participant,Delete,calendarParticipants.removeParticipant,mutation,publicProcedure,(none),all,All Authenticated Users,/calendar/:id,Remove participant from event,API-only,,server/routers/calendarParticipants.ts
Calendar,Views,Get Views,View/Search,calendarViews.getViews,query,protectedProcedure,(none),all,All Authenticated Users,/calendar,Get user's saved calendar views,API-only,,server/routers/calendarViews.ts
Calendar,Views,Create View,Create,calendarViews.createView,mutation,protectedProcedure,(none),all,All Authenticated Users,/calendar,Create custom calendar view,API-only,,server/routers/calendarViews.ts
Calendar,Views,Set As Default,Update,calendarViews.setAsDefault,mutation,protectedProcedure,(none),all,All Authenticated Users,/calendar,Set view as default,API-only,,server/routers/calendarViews.ts
Calendar,Financials,Get Meeting Financial Context,View/Search,calendarFinancials.getMeetingFinancialContext,query,protectedProcedure,(none),all,"Super Admin, Sales Manager, Accounting Manager",/calendar/:id,Get financial context for calendar events,API-only,,server/routers/calendarFinancials.ts
Calendar,Financials,Get Collections Queue,View/Search,calendarFinancials.getCollectionsQueue,query,protectedProcedure,(none),all,"Super Admin, Sales Manager, Accounting Manager",/calendar,Get queue of clients with outstanding payments,API-only,,server/routers/calendarFinancials.ts
Calendar,Financials,Get AP/AR Summary,Report,calendarFinancials.getAPARSummary,query,protectedProcedure,(none),all,"Super Admin, Sales Manager, Accounting Manager",/calendar,Get AP/AR summary for financial planning,API-only,,server/routers/calendarFinancials.ts
Calendar,Financials,Get Overdue Payments,View/Search,calendarFinancials.getOverduePayments,query,protectedProcedure,(none),all,"Super Admin, Sales Manager, Accounting Manager",/calendar,Get list of overdue payments,API-only,,server/routers/calendarFinancials.ts
Calendar,Time Off,Request Time Off,Create,timeOffRequests.request,mutation,protectedProcedure,(none),all,All Authenticated Users,/calendar/time-off,Submit time-off request,API-only,,server/routers/timeOffRequests.ts
Calendar,Time Off,Approve Request,State Transition,timeOffRequests.approve,mutation,protectedProcedure,(none),all,"Super Admin, Manager",/calendar/time-off,Approve time-off request,API-only,,server/routers/timeOffRequests.ts
Calendar,Time Off,Reject Request,State Transition,timeOffRequests.reject,mutation,protectedProcedure,(none),all,"Super Admin, Manager",/calendar/time-off,Reject time-off request,API-only,,server/routers/timeOffRequests.ts
Calendar,Time Off,List Requests,View/Search,timeOffRequests.list,query,protectedProcedure,(none),all,All Authenticated Users,/calendar/time-off,List time-off requests,API-only,,server/routers/timeOffRequests.ts
Calendar,Time Off,Cancel Request,State Transition,timeOffRequests.cancel,mutation,protectedProcedure,(none),all,All Authenticated Users,/calendar/time-off,Cancel time-off request,API-only,,server/routers/timeOffRequests.ts
Workflow,Todo Lists,Get List Tasks,View/Search,todoTasks.getListTasks,query,protectedProcedure,todos:read,all,All Authenticated Users,/todos,Get tasks for list,Client-wired,,server/routers/todoTasks.ts
Workflow,Todo Lists,Get My Tasks,View/Search,todoTasks.getMyTasks,query,protectedProcedure,todos:read,all,All Authenticated Users,/todos,Get user's tasks,Client-wired,,server/routers/todoTasks.ts
Workflow,Todo Lists,Get Task By ID,View/Search,todoTasks.getById,query,protectedProcedure,todos:read,all,All Authenticated Users,/todos/:id,Get task by ID,Client-wired,,server/routers/todoTasks.ts
Workflow,Todo Lists,Create Task,Create,todoTasks.create,mutation,protectedProcedure,todos:create,all,All Authenticated Users,/todos/new,Create new task,Client-wired,,server/routers/todoTasks.ts
Workflow,Todo Lists,Update Task,Update,todoTasks.update,mutation,protectedProcedure,todos:update,all,All Authenticated Users,/todos/:id,Update task,Client-wired,,server/routers/todoTasks.ts
Workflow,Todo Lists,Delete Task,Delete,todoTasks.delete,mutation,protectedProcedure,todos:delete,all,All Authenticated Users,/todos/:id,Delete task,Client-wired,,server/routers/todoTasks.ts
Workflow,Todo Lists,Complete Task,State Transition,todoTasks.complete,mutation,protectedProcedure,todos:read,all,All Authenticated Users,/todos/:id,Mark task as complete,Client-wired,,server/routers/todoTasks.ts
Workflow,Todo Lists,Uncomplete Task,State Transition,todoTasks.uncomplete,mutation,protectedProcedure,todos:read,all,All Authenticated Users,/todos/:id,Mark task as incomplete,Client-wired,,server/routers/todoTasks.ts
Workflow,Todo Lists,Assign Task,Action,todoTasks.assign,mutation,protectedProcedure,todos:read,all,All Authenticated Users,/todos/:id,Assign task to user,Client-wired,,server/routers/todoTasks.ts
Workflow,Todo Lists,Reorder Tasks,Action,todoTasks.reorder,mutation,protectedProcedure,todos:read,all,All Authenticated Users,/todos,Reorder tasks,Client-wired,,server/routers/todoTasks.ts
Workflow,Todo Lists,Get Overdue Tasks,View/Search,todoTasks.getOverdue,query,protectedProcedure,todos:read,all,All Authenticated Users,/todos,Get overdue tasks,Client-wired,,server/routers/todoTasks.ts
Workflow,Todo Lists,Get Due Soon,View/Search,todoTasks.getDueSoon,query,protectedProcedure,todos:read,all,All Authenticated Users,/todos,Get tasks due soon,Client-wired,,server/routers/todoTasks.ts
Workflow,Todo Lists,Get List Stats,Report,todoTasks.getListStats,query,protectedProcedure,todos:read,all,All Authenticated Users,/todos,Get list statistics,Client-wired,,server/routers/todoTasks.ts
Dashboard,Dashboard,Get Dashboard Data,Report,dashboardEnhanced.getDashboardData,query,publicProcedure,(none),all,All Authenticated Users,/dashboard,Get main dashboard data,Client-wired,,server/routers/dashboardEnhanced.ts
Dashboard,Dashboard,Get Sales Performance,Report,dashboardEnhanced.getSalesPerformance,query,publicProcedure,(none),all,All Authenticated Users,/dashboard,Get sales performance metrics,Client-wired,,server/routers/dashboardEnhanced.ts
Dashboard,Dashboard,Get AR Aging Report,Report,dashboardEnhanced.getARAgingReport,query,publicProcedure,(none),all,All Authenticated Users,/dashboard,Get AR aging report,Client-wired,,server/routers/dashboardEnhanced.ts
Dashboard,Dashboard,Get Inventory Valuation,Report,dashboardEnhanced.getInventoryValuation,query,publicProcedure,(none),all,All Authenticated Users,/dashboard,Get inventory valuation,Client-wired,,server/routers/dashboardEnhanced.ts
Dashboard,Dashboard,Get Top Products,Report,dashboardEnhanced.getTopProducts,query,publicProcedure,(none),all,All Authenticated Users,/dashboard,Get top products by sales,Client-wired,,server/routers/dashboardEnhanced.ts
Dashboard,Dashboard,Get Top Clients,Report,dashboardEnhanced.getTopClients,query,publicProcedure,(none),all,All Authenticated Users,/dashboard,Get top clients by sales,Client-wired,,server/routers/dashboardEnhanced.ts
Dashboard,Dashboard,Get Profitability Metrics,Report,dashboardEnhanced.getProfitabilityMetrics,query,publicProcedure,(none),all,All Authenticated Users,/dashboard,Get profitability metrics,Client-wired,,server/routers/dashboardEnhanced.ts
Dashboard,Dashboard,Export Data,Action,dashboardEnhanced.exportData,mutation,publicProcedure,(none),all,All Authenticated Users,/dashboard,Export dashboard data,Client-wired,,server/routers/dashboardEnhanced.ts
Dashboard,Alerts,Generate Alerts,Action,dashboardEnhanced.generateAlerts,mutation,publicProcedure,(none),all,All Authenticated Users,/dashboard,Generate dashboard alerts,Client-wired,,server/routers/dashboardEnhanced.ts
Dashboard,Alerts,Get Active Alerts,View/Search,dashboardEnhanced.getActiveAlerts,query,publicProcedure,(none),all,All Authenticated Users,/dashboard,Get active alerts,Client-wired,,server/routers/dashboardEnhanced.ts
Dashboard,Alerts,Acknowledge Alert,Action,dashboardEnhanced.acknowledgeAlert,mutation,publicProcedure,(none),all,All Authenticated Users,/dashboard,Acknowledge alert,Client-wired,,server/routers/dashboardEnhanced.ts
Dashboard,Alerts,Resolve Alert,State Transition,dashboardEnhanced.resolveAlert,mutation,publicProcedure,(none),all,All Authenticated Users,/dashboard,Resolve alert,Client-wired,,server/routers/dashboardEnhanced.ts
Analytics,Analytics,Get Summary,Report,analytics.getSummary,query,protectedProcedure,analytics:read,all,"Super Admin, Sales Manager",/analytics,Get analytics summary,API-only,Permission string not in RBAC seed,server/routers/analytics.ts
Analytics,Analytics,Get Extended Summary,Report,analytics.getExtendedSummary,query,protectedProcedure,analytics:read,all,"Super Admin, Sales Manager",/analytics,Get extended analytics summary,Client-wired,Permission string not in RBAC seed,server/routers/analytics.ts
Analytics,Analytics,Get Revenue Trends,Report,analytics.getRevenueTrends,query,protectedProcedure,analytics:read,all,"Super Admin, Sales Manager",/analytics,Get revenue trends over time,Client-wired,Permission string not in RBAC seed,server/routers/analytics.ts
Analytics,Analytics,Get Top Clients,Report,analytics.getTopClients,query,protectedProcedure,analytics:read,all,"Super Admin, Sales Manager",/analytics,Get top clients by metrics,Client-wired,Permission string not in RBAC seed,server/routers/analytics.ts
Analytics,Analytics,Client Strain Preferences,Report,analytics.clientStrainPreferences,query,protectedProcedure,analytics:read,all,"Super Admin, Sales Manager",/analytics,Get client strain preferences,Client-wired,Permission string not in RBAC seed,server/routers/analytics.ts
Analytics,Analytics,Top Strain Families,Report,analytics.topStrainFamilies,query,protectedProcedure,analytics:read,all,"Super Admin, Sales Manager",/analytics,Get top strain families,Client-wired,Permission string not in RBAC seed,server/routers/analytics.ts
Analytics,Analytics,Strain Family Trends,Report,analytics.strainFamilyTrends,query,protectedProcedure,analytics:read,all,"Super Admin, Sales Manager",/analytics,Get strain family trends,Client-wired,Permission string not in RBAC seed,server/routers/analytics.ts
Analytics,Analytics,Export Data,Action,analytics.exportData,mutation,protectedProcedure,analytics:read,all,"Super Admin, Sales Manager",/analytics,Export analytics data,Client-wired,Permission string not in RBAC seed,server/routers/analytics.ts
Admin,RBAC Roles,List Roles,View/Search,rbacRoles.list,query,protectedProcedure,(none),all,Super Admin,/admin/roles,List all RBAC roles,Client-wired,,server/routers/rbac-roles.ts
Admin,RBAC Roles,Get Role By ID,View/Search,rbacRoles.getById,query,protectedProcedure,(none),all,Super Admin,/admin/roles/:id,Get role by ID,Client-wired,,server/routers/rbac-roles.ts
Admin,RBAC Roles,Create Role,Create,rbacRoles.create,mutation,protectedProcedure,(none),all,Super Admin,/admin/roles/new,Create new role,Client-wired,,server/routers/rbac-roles.ts
Admin,RBAC Roles,Update Role,Update,rbacRoles.update,mutation,protectedProcedure,(none),all,Super Admin,/admin/roles/:id,Update role,Client-wired,,server/routers/rbac-roles.ts
Admin,RBAC Roles,Delete Role,Delete,rbacRoles.delete,mutation,protectedProcedure,(none),all,Super Admin,/admin/roles/:id,Delete role,Client-wired,,server/routers/rbac-roles.ts
Admin,RBAC Roles,Assign Permission,Action,rbacRoles.assignPermission,mutation,protectedProcedure,(none),all,Super Admin,/admin/roles/:id,Assign permission to role,Client-wired,,server/routers/rbac-roles.ts
Admin,RBAC Roles,Remove Permission,Action,rbacRoles.removePermission,mutation,protectedProcedure,(none),all,Super Admin,/admin/roles/:id,Remove permission from role,Client-wired,,server/routers/rbac-roles.ts
Admin,RBAC Roles,Bulk Assign Permissions,Action,rbacRoles.bulkAssignPermissions,mutation,protectedProcedure,(none),all,Super Admin,/admin/roles/:id,Bulk assign permissions,Client-wired,,server/routers/rbac-roles.ts
Admin,RBAC Roles,Replace Permissions,Action,rbacRoles.replacePermissions,mutation,protectedProcedure,(none),all,Super Admin,/admin/roles/:id,Replace all permissions,Client-wired,,server/routers/rbac-roles.ts
Admin,User Management,List Users,View/Search,userManagement.listUsers,query,strictlyProtectedProcedure,(none),all,Super Admin,/admin/users,List all users,Client-wired,,server/routers/userManagement.ts
Admin,User Management,Create User,Create,userManagement.createUser,mutation,strictlyProtectedProcedure,(none),all,Super Admin,/admin/users/new,Create new user,Client-wired,,server/routers/userManagement.ts
Admin,User Management,Delete User,Delete,userManagement.deleteUser,mutation,strictlyProtectedProcedure,(none),all,Super Admin,/admin/users/:id,Delete user,Client-wired,,server/routers/userManagement.ts
Admin,User Management,Reset Password,Action,userManagement.resetPassword,mutation,strictlyProtectedProcedure,(none),all,Super Admin,/admin/users/:id,Reset user password,Client-wired,,server/routers/userManagement.ts
Admin,Configuration,Get Config,View/Search,configuration.get,query,protectedProcedure,settings:manage,all,Super Admin,/admin/settings,Get all configuration settings,Client-wired,,server/routers/configuration.ts
Admin,Configuration,Get Config Value,View/Search,configuration.getValue,query,protectedProcedure,settings:manage,all,Super Admin,/admin/settings,Get single configuration value,Client-wired,,server/routers/configuration.ts
Admin,Configuration,Set Config Value,Update,configuration.setValue,mutation,protectedProcedure,settings:manage,all,Super Admin,/admin/settings,Set configuration value,Client-wired,,server/routers/configuration.ts
Admin,Configuration,Reset Config,Action,configuration.reset,mutation,protectedProcedure,settings:manage,all,Super Admin,/admin/settings,Reset configuration to defaults,Client-wired,,server/routers/configuration.ts
Admin,Configuration,Get History,View/Search,configuration.getHistory,query,protectedProcedure,settings:manage,all,Super Admin,/admin/settings,Get configuration change history,Client-wired,,server/routers/configuration.ts
Admin,Configuration,Get Feature Flags,View/Search,configuration.getFeatureFlags,query,protectedProcedure,settings:manage,all,Super Admin,/admin/settings,Get feature flags,Client-wired,,server/routers/configuration.ts
Admin,Monitoring,Get Recent Metrics,View/Search,monitoring.getRecentMetrics,query,adminProcedure,(none),all,Super Admin,/admin/monitoring,Get recent performance metrics,Client-wired,,server/routers/monitoring.ts
Admin,Monitoring,Get Slow Query Stats,View/Search,monitoring.getSlowQueryStats,query,adminProcedure,(none),all,Super Admin,/admin/monitoring,Get slow query statistics,Client-wired,,server/routers/monitoring.ts
Admin,Monitoring,Get Performance Summary,Report,monitoring.getPerformanceSummary,query,adminProcedure,(none),all,Super Admin,/admin/monitoring,Get performance summary,Client-wired,,server/routers/monitoring.ts
Admin,Monitoring,Get Procedure Metrics,Report,monitoring.getProcedureMetrics,query,adminProcedure,(none),all,Super Admin,/admin/monitoring,Get procedure-specific metrics,Client-wired,,server/routers/monitoring.ts
Admin,Audit,Query Audit Logs,View/Search,auditLogs.query,query,protectedProcedure,audit:read,all,"Super Admin, Read-Only Auditor",/admin/audit,Query audit logs with filters,API-only,,server/routers/auditLogs.ts
Admin,Audit,Get Entity Trail,View/Search,auditLogs.getEntityTrail,query,protectedProcedure,audit:read,all,"Super Admin, Read-Only Auditor",/admin/audit,Get audit trail for specific entity,API-only,,server/routers/auditLogs.ts
Admin,Audit,Export Audit Logs,Action,auditLogs.export,query,protectedProcedure,audit:read,all,"Super Admin, Read-Only Auditor",/admin/audit,Export audit logs to JSON,API-only,,server/routers/auditLogs.ts
Admin,Audit,Get User History,View/Search,auditLogs.getUserHistory,query,strictlyProtectedProcedure,users:read,all,"Super Admin, Read-Only Auditor",/admin/users/:id,Get user activity history,Client-wired,,server/routers/auditLogs.ts
Auth,Auth,Me,View/Search,auth.me,query,publicProcedure,(none),all,All Users,*,Get current user info,Client-wired,,server/routers/auth.ts
Auth,Auth,Logout,Action,auth.logout,mutation,publicProcedure,(none),all,All Users,*,Logout current user,Client-wired,,server/routers/auth.ts
Auth,Auth,Update Profile,Update,auth.updateProfile,mutation,strictlyProtectedProcedure,(none),all,All Authenticated Users,/account,Update current user's profile,Client-wired,,server/routers/auth.ts
Auth,Auth,Change Password,Action,auth.changePassword,mutation,strictlyProtectedProcedure,(none),all,All Authenticated Users,/account,Change current user's password,Client-wired,,server/routers/auth.ts
Deprecated,Vendors,Get All Vendors,View/Search,vendors.getAll,query,publicProcedure,(none),all,All Users,/vendors,Get all vendors (DEPRECATED - use clients.list),Deprecated,,server/routers/vendors.ts
Deprecated,Vendors,Get Vendor By ID,View/Search,vendors.getById,query,publicProcedure,(none),all,All Users,/vendors/:id,Get vendor by ID (DEPRECATED - use clients.getById),Deprecated,,server/routers/vendors.ts
Deprecated,Vendors,Search Vendors,View/Search,vendors.search,query,publicProcedure,(none),all,All Users,/vendors,Search vendors (DEPRECATED),Deprecated,,server/routers/vendors.ts
Deprecated,Vendors,Create Vendor,Create,vendors.create,mutation,publicProcedure,(none),all,All Users,/vendors/new,Create vendor (DEPRECATED - use clients.create),Deprecated,,server/routers/vendors.ts
Deprecated,Vendors,Update Vendor,Update,vendors.update,mutation,publicProcedure,(none),all,All Users,/vendors/:id,Update vendor (DEPRECATED - use clients.update),Deprecated,,server/routers/vendors.ts
Deprecated,Vendors,Delete Vendor,Delete,vendors.delete,mutation,publicProcedure,(none),all,All Users,/vendors/:id,Delete vendor (DEPRECATED - use clients.delete),Deprecated,,server/routers/vendors.ts
