filename,sourcePath,sourceStream,prefix,classification,rationale
0000_next_texas_twister.sql,drizzle/0000_next_texas_twister.sql,drizzle-root,0000,journaled,Root drizzle migration prefix exists in Drizzle journal.
0000_next_texas_twister,drizzle/meta/_journal.json,journal,0000,canonical,Journal entry recorded by Drizzle metadata.
0001_add_workflow_queue_tables.sql,drizzle/migrations/0001_add_workflow_queue_tables.sql,drizzle-migrations,0001,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0001_live_shopping.sql,drizzle/migrations/0001_live_shopping.sql,drizzle-migrations,0001,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0001_vip_portal_schema.sql,drizzle/migrations/0001_vip_portal_schema.sql,drizzle-migrations,0001,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0001_clumsy_adam_destine.sql,drizzle/0001_clumsy_adam_destine.sql,drizzle-root,0001,journaled,Root drizzle migration prefix exists in Drizzle journal.
0001_clumsy_adam_destine,drizzle/meta/_journal.json,journal,0001,canonical,Journal entry recorded by Drizzle metadata.
0002_add_deployments_table.sql,drizzle/migrations/0002_add_deployments_table.sql,drizzle-migrations,0002,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0002_dashboard_preferences.sql,drizzle/migrations/0002_dashboard_preferences.sql,drizzle-migrations,0002,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0002_many_kat_farrell.sql,drizzle/0002_many_kat_farrell.sql,drizzle-root,0002,journaled,Root drizzle migration prefix exists in Drizzle journal.
0002_many_kat_farrell,drizzle/meta/_journal.json,journal,0002,canonical,Journal entry recorded by Drizzle metadata.
0003_inventory_stability_improvements_mysql.sql,drizzle/migrations/0003_inventory_stability_improvements_mysql.sql,drizzle-migrations,0003,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0003_inventory_stability_improvements_production.sql,drizzle/migrations/0003_inventory_stability_improvements_production.sql,drizzle-migrations,0003,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0003_inventory_stability_improvements.sql,drizzle/migrations/0003_inventory_stability_improvements.sql,drizzle-migrations,0003,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0003_regular_red_hulk.sql,drizzle/0003_regular_red_hulk.sql,drizzle-root,0003,journaled,Root drizzle migration prefix exists in Drizzle journal.
0003_regular_red_hulk,drizzle/meta/_journal.json,journal,0003,canonical,Journal entry recorded by Drizzle metadata.
0004_add_todo_lists.sql,drizzle/migrations/0004_add_todo_lists.sql,drizzle-migrations,0004,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0004_abnormal_mephisto.sql,drizzle/0004_abnormal_mephisto.sql,drizzle-root,0004,journaled,Root drizzle migration prefix exists in Drizzle journal.
0004_abnormal_mephisto,drizzle/meta/_journal.json,journal,0004,canonical,Journal entry recorded by Drizzle metadata.
0005_add_comments_system.sql,drizzle/migrations/0005_add_comments_system.sql,drizzle-migrations,0005,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0005_faulty_ben_urich.sql,drizzle/0005_faulty_ben_urich.sql,drizzle-root,0005,journaled,Root drizzle migration prefix exists in Drizzle journal.
0005_faulty_ben_urich,drizzle/meta/_journal.json,journal,0005,canonical,Journal entry recorded by Drizzle metadata.
0006_add_inbox_system.sql,drizzle/migrations/0006_add_inbox_system.sql,drizzle-migrations,0006,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0006_chunky_penance.sql,drizzle/0006_chunky_penance.sql,drizzle-root,0006,journaled,Root drizzle migration prefix exists in Drizzle journal.
0006_chunky_penance,drizzle/meta/_journal.json,journal,0006,canonical,Journal entry recorded by Drizzle metadata.
0007_add_calendar_recurrence_index.sql,drizzle/migrations/0007_add_calendar_recurrence_index.sql,drizzle-migrations,0007,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0007_sparkling_phantom_reporter.sql,drizzle/0007_sparkling_phantom_reporter.sql,drizzle-root,0007,journaled,Root drizzle migration prefix exists in Drizzle journal.
0007_sparkling_phantom_reporter,drizzle/meta/_journal.json,journal,0007,canonical,Journal entry recorded by Drizzle metadata.
0008_fix_calendar_events_schema.sql,drizzle/migrations/0008_fix_calendar_events_schema.sql,drizzle-migrations,0008,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0008_premium_sauron.sql,drizzle/0008_premium_sauron.sql,drizzle-root,0008,journaled,Root drizzle migration prefix exists in Drizzle journal.
0008_premium_sauron,drizzle/meta/_journal.json,journal,0008,canonical,Journal entry recorded by Drizzle metadata.
0009_fix_calendar_recurrence_instances_schema.sql,drizzle/migrations/0009_fix_calendar_recurrence_instances_schema.sql,drizzle-migrations,0009,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0009_slow_silk_fever.sql,drizzle/0009_slow_silk_fever.sql,drizzle-root,0009,journaled,Root drizzle migration prefix exists in Drizzle journal.
0009_slow_silk_fever,drizzle/meta/_journal.json,journal,0009,canonical,Journal entry recorded by Drizzle metadata.
0010_add_missing_event_types.sql,drizzle/migrations/0010_add_missing_event_types.sql,drizzle-migrations,0010,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0010_left_night_thrasher.sql,drizzle/0010_left_night_thrasher.sql,drizzle-root,0010,journaled,Root drizzle migration prefix exists in Drizzle journal.
0010_left_night_thrasher,drizzle/meta/_journal.json,journal,0010,canonical,Journal entry recorded by Drizzle metadata.
0011_add_deleted_at_indexes.sql,drizzle/migrations/0011_add_deleted_at_indexes.sql,drizzle-migrations,0011,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0011_noisy_gabe_jones.sql,drizzle/0011_noisy_gabe_jones.sql,drizzle-root,0011,journaled,Root drizzle migration prefix exists in Drizzle journal.
0011_noisy_gabe_jones,drizzle/meta/_journal.json,journal,0011,canonical,Journal entry recorded by Drizzle metadata.
0012_add_deleted_at_to_ar_ap_tables.sql,drizzle/migrations/0012_add_deleted_at_to_ar_ap_tables.sql,drizzle-migrations,0012,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0012_daffy_shotgun.sql,drizzle/0012_daffy_shotgun.sql,drizzle-root,0012,journaled,Root drizzle migration prefix exists in Drizzle journal.
0012_daffy_shotgun,drizzle/meta/_journal.json,journal,0012,canonical,Journal entry recorded by Drizzle metadata.
0013_add_pick_pack_tables.sql,drizzle/migrations/0013_add_pick_pack_tables.sql,drizzle-migrations,0013,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0013_mute_bill_hollister.sql,drizzle/0013_mute_bill_hollister.sql,drizzle-root,0013,journaled,Root drizzle migration prefix exists in Drizzle journal.
0013_mute_bill_hollister,drizzle/meta/_journal.json,journal,0013,canonical,Journal entry recorded by Drizzle metadata.
0014_add_referral_credits.sql,drizzle/migrations/0014_add_referral_credits.sql,drizzle-migrations,0014,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0014_lying_guardian.sql,drizzle/0014_lying_guardian.sql,drizzle-root,0014,journaled,Root drizzle migration prefix exists in Drizzle journal.
0014_lying_guardian,drizzle/meta/_journal.json,journal,0014,canonical,Journal entry recorded by Drizzle metadata.
0015_add_receipts_table.sql,drizzle/migrations/0015_add_receipts_table.sql,drizzle-migrations,0015,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0015_brave_wraith.sql,drizzle/0015_brave_wraith.sql,drizzle-root,0015,journaled,Root drizzle migration prefix exists in Drizzle journal.
0015_brave_wraith,drizzle/meta/_journal.json,journal,0015,canonical,Journal entry recorded by Drizzle metadata.
0016_add_ws007_010_tables.sql,drizzle/migrations/0016_add_ws007_010_tables.sql,drizzle-migrations,0016,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0016_oval_natasha_romanoff.sql,drizzle/0016_oval_natasha_romanoff.sql,drizzle-root,0016,journaled,Root drizzle migration prefix exists in Drizzle journal.
0016_oval_natasha_romanoff,drizzle/meta/_journal.json,journal,0016,canonical,Journal entry recorded by Drizzle metadata.
0017_add_ws011_014_tables.sql,drizzle/migrations/0017_add_ws011_014_tables.sql,drizzle-migrations,0017,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0017_needy_whistler.sql,drizzle/0017_needy_whistler.sql,drizzle-root,0017,journaled,Root drizzle migration prefix exists in Drizzle journal.
0017_needy_whistler,drizzle/meta/_journal.json,journal,0017,canonical,Journal entry recorded by Drizzle metadata.
0018_add_wishlist_field.sql,drizzle/migrations/0018_add_wishlist_field.sql,drizzle-migrations,0018,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0018_magenta_changeling.sql,drizzle/0018_magenta_changeling.sql,drizzle-root,0018,journaled,Root drizzle migration prefix exists in Drizzle journal.
0018_magenta_changeling,drizzle/meta/_journal.json,journal,0018,canonical,Journal entry recorded by Drizzle metadata.
0019_fix_vip_portal_fk_constraint.sql,drizzle/migrations/0019_fix_vip_portal_fk_constraint.sql,drizzle-migrations,0019,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0019_slippery_dust.sql,drizzle/0019_slippery_dust.sql,drizzle-root,0019,journaled,Root drizzle migration prefix exists in Drizzle journal.
0019_slippery_dust,drizzle/meta/_journal.json,journal,0019,canonical,Journal entry recorded by Drizzle metadata.
0020_add_missing_client_columns.sql,drizzle/migrations/0020_add_missing_client_columns.sql,drizzle-migrations,0020,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0020_add_strain_type.sql,drizzle/0020_add_strain_type.sql,drizzle-root,0020,journaled,Root drizzle migration prefix exists in Drizzle journal.
0020_flimsy_makkari.sql,drizzle/0020_flimsy_makkari.sql,drizzle-root,0020,journaled,Root drizzle migration prefix exists in Drizzle journal.
0020_flimsy_makkari,drizzle/meta/_journal.json,journal,0020,canonical,Journal entry recorded by Drizzle metadata.
0021_add_feature_flags.sql,drizzle/migrations/0021_add_feature_flags.sql,drizzle-migrations,0021,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0021_rollback_feature_flags.sql,drizzle/migrations/0021_rollback_feature_flags.sql,drizzle-migrations,0021,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0021_add_product_name_fixed.sql,drizzle/0021_add_product_name_fixed.sql,drizzle-root,0021,journaled,Root drizzle migration prefix exists in Drizzle journal.
0021_add_product_name.sql,drizzle/0021_add_product_name.sql,drizzle-root,0021,journaled,Root drizzle migration prefix exists in Drizzle journal.
0021_giant_leech.sql,drizzle/0021_giant_leech.sql,drizzle-root,0021,journaled,Root drizzle migration prefix exists in Drizzle journal.
0021_giant_leech,drizzle/meta/_journal.json,journal,0021,canonical,Journal entry recorded by Drizzle metadata.
0022_add_admin_impersonation_tables.sql,drizzle/migrations/0022_add_admin_impersonation_tables.sql,drizzle-migrations,0022,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0022_rollback_admin_impersonation_tables.sql,drizzle/migrations/0022_rollback_admin_impersonation_tables.sql,drizzle-migrations,0022,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0022_create_order_line_items.sql,drizzle/0022_create_order_line_items.sql,drizzle-root,0022,journaled,Root drizzle migration prefix exists in Drizzle journal.
0022_create_rbac_tables.sql,drizzle/0022_create_rbac_tables.sql,drizzle-root,0022,journaled,Root drizzle migration prefix exists in Drizzle journal.
0022_create_rbac_tables,drizzle/meta/_journal.json,journal,0022,canonical,Journal entry recorded by Drizzle metadata.
0023_add_notifications_tables.sql,drizzle/migrations/0023_add_notifications_tables.sql,drizzle-migrations,0023,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0023_redundant_bulldozer.sql,drizzle/0023_redundant_bulldozer.sql,drizzle-root,0023,journaled,Root drizzle migration prefix exists in Drizzle journal.
0023_update_orders_table.sql,drizzle/0023_update_orders_table.sql,drizzle-root,0023,journaled,Root drizzle migration prefix exists in Drizzle journal.
0023_redundant_bulldozer,drizzle/meta/_journal.json,journal,0023,canonical,Journal entry recorded by Drizzle metadata.
0024_calendar_foundation.sql,drizzle/migrations/0024_calendar_foundation.sql,drizzle-migrations,0024,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0024_create_order_audit_log.sql,drizzle/0024_create_order_audit_log.sql,drizzle-root,0024,journaled,Root drizzle migration prefix exists in Drizzle journal.
0024_misty_rogue.sql,drizzle/0024_misty_rogue.sql,drizzle-root,0024,journaled,Root drizzle migration prefix exists in Drizzle journal.
0024_misty_rogue,drizzle/meta/_journal.json,journal,0024,canonical,Journal entry recorded by Drizzle metadata.
0025_add_performance_indexes.sql,drizzle/migrations/0025_add_performance_indexes.sql,drizzle-migrations,0025,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0025_create_pricing_defaults.sql,drizzle/0025_create_pricing_defaults.sql,drizzle-root,0025,journaled,Root drizzle migration prefix exists in Drizzle journal.
0025_needy_carnage.sql,drizzle/0025_needy_carnage.sql,drizzle-root,0025,journaled,Root drizzle migration prefix exists in Drizzle journal.
0025_needy_carnage,drizzle/meta/_journal.json,journal,0025,canonical,Journal entry recorded by Drizzle metadata.
0026_add_sales_sheet_sharing.sql,drizzle/migrations/0026_add_sales_sheet_sharing.sql,drizzle-migrations,0026,legacy-reference,Nested migration duplicates a journaled prefix and should be treated as reference-only until reconciled.
0026_first_salo.sql,drizzle/0026_first_salo.sql,drizzle-root,0026,journaled,Root drizzle migration prefix exists in Drizzle journal.
0026_recreate_dashboard_preferences.sql,drizzle/0026_recreate_dashboard_preferences.sql,drizzle-root,0026,journaled,Root drizzle migration prefix exists in Drizzle journal.
0026_first_salo,drizzle/meta/_journal.json,journal,0026,canonical,Journal entry recorded by Drizzle metadata.
0027_add_payables_and_ownership_tracking.sql,drizzle/migrations/0027_add_payables_and_ownership_tracking.sql,drizzle-migrations,0027,outside-fork-scope,Nested migration prefix is not journaled and must be explicitly classified before fork build work.
0027_add_vendor_payment_terms.sql,drizzle/0027_add_vendor_payment_terms.sql,drizzle-root,0027,unjournaled,Root drizzle migration file has no matching journal prefix.
0028_add_vendor_notes.sql,drizzle/0028_add_vendor_notes.sql,drizzle-root,0028,unjournaled,Root drizzle migration file has no matching journal prefix.
0029_add_purchase_orders.sql,drizzle/0029_add_purchase_orders.sql,drizzle-root,0029,unjournaled,Root drizzle migration file has no matching journal prefix.
0030_sprint3_pricing_engine.sql,drizzle/migrations/0030_sprint3_pricing_engine.sql,drizzle-migrations,0030,outside-fork-scope,Nested migration prefix is not journaled and must be explicitly classified before fork build work.
0030_add_adjustment_reasons.sql,drizzle/0030_add_adjustment_reasons.sql,drizzle-root,0030,unjournaled,Root drizzle migration file has no matching journal prefix.
0030_live_shopping_item_status.sql,drizzle/0030_live_shopping_item_status.sql,drizzle-root,0030,unjournaled,Root drizzle migration file has no matching journal prefix.
0031_add_calendar_v32_columns.sql,drizzle/0031_add_calendar_v32_columns.sql,drizzle-root,0031,unjournaled,Root drizzle migration file has no matching journal prefix.
0031_add_calendar_vendor_timezone.sql,drizzle/0031_add_calendar_vendor_timezone.sql,drizzle-root,0031,unjournaled,Root drizzle migration file has no matching journal prefix.
0032_fix_meeting_history_cascade.sql,drizzle/0032_fix_meeting_history_cascade.sql,drizzle-root,0032,unjournaled,Root drizzle migration file has no matching journal prefix.
0033_add_event_types.sql,drizzle/0033_add_event_types.sql,drizzle-root,0033,unjournaled,Root drizzle migration file has no matching journal prefix.
0034_add_intake_event_to_orders.sql,drizzle/0034_add_intake_event_to_orders.sql,drizzle-root,0034,unjournaled,Root drizzle migration file has no matching journal prefix.
0035_add_photo_event_to_batches.sql,drizzle/0035_add_photo_event_to_batches.sql,drizzle-root,0035,unjournaled,Root drizzle migration file has no matching journal prefix.
0036_add_event_invitations.sql,drizzle/0036_add_event_invitations.sql,drizzle-root,0036,unjournaled,Root drizzle migration file has no matching journal prefix.
0038_add_missing_indexes_mysql.sql,drizzle/0038_add_missing_indexes_mysql.sql,drizzle-root,0038,unjournaled,Root drizzle migration file has no matching journal prefix.
0038_add_missing_indexes.sql,drizzle/0038_add_missing_indexes.sql,drizzle-root,0038,unjournaled,Root drizzle migration file has no matching journal prefix.
0039_add_soft_delete_to_all_tables.sql,drizzle/0039_add_soft_delete_to_all_tables.sql,drizzle-root,0039,unjournaled,Root drizzle migration file has no matching journal prefix.
0040_add_client360_features.sql,drizzle/migrations/0040_add_client360_features.sql,drizzle-migrations,0040,outside-fork-scope,Nested migration prefix is not journaled and must be explicitly classified before fork build work.
0040_add_credit_visibility_settings.sql,drizzle/0040_add_credit_visibility_settings.sql,drizzle-root,0040,unjournaled,Root drizzle migration file has no matching journal prefix.
0041_add_leaderboard_tables.sql,drizzle/0041_add_leaderboard_tables.sql,drizzle-root,0041,unjournaled,Root drizzle migration file has no matching journal prefix.
0042_fix_clients_credit_fields.sql,drizzle/0042_fix_clients_credit_fields.sql,drizzle-root,0042,unjournaled,Root drizzle migration file has no matching journal prefix.
0043_add_usp_columns.sql,drizzle/0043_add_usp_columns.sql,drizzle-root,0043,unjournaled,Root drizzle migration file has no matching journal prefix.
0044_add_admin_impersonation_tables.sql,drizzle/0044_add_admin_impersonation_tables.sql,drizzle-root,0044,journaled,Root drizzle migration prefix exists in Drizzle journal.
0044_add_admin_impersonation_tables,drizzle/meta/_journal.json,journal,0044,canonical,Journal entry recorded by Drizzle metadata.
0045_add_sales_sheet_drafts.sql,drizzle/0045_add_sales_sheet_drafts.sql,drizzle-root,0045,unjournaled,Root drizzle migration file has no matching journal prefix.
0046_add_search_indexes.sql,drizzle/0046_add_search_indexes.sql,drizzle-root,0046,unjournaled,Root drizzle migration file has no matching journal prefix.
0047_feat_009_015_implementation.sql,drizzle/0047_feat_009_015_implementation.sql,drizzle-root,0047,unjournaled,Root drizzle migration file has no matching journal prefix.
0050_sprint5_gamification.sql,drizzle/migrations/0050_sprint5_gamification.sql,drizzle-migrations,0050,outside-fork-scope,Nested migration prefix is not journaled and must be explicitly classified before fork build work.
0050_live_shopping_timeout.sql,drizzle/0050_live_shopping_timeout.sql,drizzle-root,0050,unjournaled,Root drizzle migration file has no matching journal prefix.
0051_sprint5_trackd_transaction_features.sql,drizzle/migrations/0051_sprint5_trackd_transaction_features.sql,drizzle-migrations,0051,outside-fork-scope,Nested migration prefix is not journaled and must be explicitly classified before fork build work.
0051_add_missing_foreign_keys.sql,drizzle/0051_add_missing_foreign_keys.sql,drizzle-root,0051,unjournaled,Root drizzle migration file has no matching journal prefix.
0052_migrate_varchar_to_decimal_numeric_columns.sql,drizzle/migrations/0052_migrate_varchar_to_decimal_numeric_columns.sql,drizzle-migrations,0052,outside-fork-scope,Nested migration prefix is not journaled and must be explicitly classified before fork build work.
0052_feat_002_tag_system_revamp.sql,drizzle/0052_feat_002_tag_system_revamp.sql,drizzle-root,0052,unjournaled,Root drizzle migration file has no matching journal prefix.
0053_add_idempotency_key_to_credit_applications.sql,drizzle/migrations/0053_add_idempotency_key_to_credit_applications.sql,drizzle-migrations,0053,outside-fork-scope,Nested migration prefix is not journaled and must be explicitly classified before fork build work.
0053_fix_dashboard_preferences_index.sql,drizzle/0053_fix_dashboard_preferences_index.sql,drizzle-root,0053,unjournaled,Root drizzle migration file has no matching journal prefix.
0054_create_vip_tiers.sql,drizzle/migrations/0054_create_vip_tiers.sql,drizzle-migrations,0054,outside-fork-scope,Nested migration prefix is not journaled and must be explicitly classified before fork build work.
0054_fix_long_constraint_names.sql,drizzle/0054_fix_long_constraint_names.sql,drizzle-root,0054,unjournaled,Root drizzle migration file has no matching journal prefix.
0055_add_client_business_fields.sql,drizzle/migrations/0055_add_client_business_fields.sql,drizzle-migrations,0055,outside-fork-scope,Nested migration prefix is not journaled and must be explicitly classified before fork build work.
0055_add_bills_fk_constraints.sql,drizzle/0055_add_bills_fk_constraints.sql,drizzle-root,0055,unjournaled,Root drizzle migration file has no matching journal prefix.
0056_add_additional_packaged_units.sql,drizzle/migrations/0056_add_additional_packaged_units.sql,drizzle-migrations,0056,outside-fork-scope,Nested migration prefix is not journaled and must be explicitly classified before fork build work.
0056_migrate_lots_supplier_client_id.sql,drizzle/0056_migrate_lots_supplier_client_id.sql,drizzle-root,0056,unjournaled,Root drizzle migration file has no matching journal prefix.
0057_add_sms_enabled_to_notification_preferences.sql,drizzle/migrations/0057_add_sms_enabled_to_notification_preferences.sql,drizzle-migrations,0057,outside-fork-scope,Nested migration prefix is not journaled and must be explicitly classified before fork build work.
0057_add_gl_entry_single_direction_constraint.sql,drizzle/0057_add_gl_entry_single_direction_constraint.sql,drizzle-root,0057,unjournaled,Root drizzle migration file has no matching journal prefix.
0058_add_live_shopping_timeout_columns.sql,drizzle/migrations/0058_add_live_shopping_timeout_columns.sql,drizzle-migrations,0058,outside-fork-scope,Nested migration prefix is not journaled and must be explicitly classified before fork build work.
0058_add_vendor_supply_soft_delete.sql,drizzle/0058_add_vendor_supply_soft_delete.sql,drizzle-root,0058,unjournaled,Root drizzle migration file has no matching journal prefix.
0059_add_cron_leader_lock.sql,drizzle/migrations/0059_add_cron_leader_lock.sql,drizzle-migrations,0059,outside-fork-scope,Nested migration prefix is not journaled and must be explicitly classified before fork build work.
0059_rename_order_fulfillment_ready_for_packing.sql,drizzle/0059_rename_order_fulfillment_ready_for_packing.sql,drizzle-root,0059,unjournaled,Root drizzle migration file has no matching journal prefix.
0060_add_batch_quantity_check_constraints.sql,drizzle/migrations/0060_add_batch_quantity_check_constraints.sql,drizzle-migrations,0060,outside-fork-scope,Nested migration prefix is not journaled and must be explicitly classified before fork build work.
0060_rename_quote_status_enum_values.sql,drizzle/0060_rename_quote_status_enum_values.sql,drizzle-root,0060,unjournaled,Root drizzle migration file has no matching journal prefix.
0061_add_client_wants_soft_delete.sql,drizzle/migrations/0061_add_client_wants_soft_delete.sql,drizzle-migrations,0061,outside-fork-scope,Nested migration prefix is not journaled and must be explicitly classified before fork build work.
0061_photography_complete_flag_migration.sql,drizzle/0061_photography_complete_flag_migration.sql,drizzle-root,0061,unjournaled,Root drizzle migration file has no matching journal prefix.
