tableName,exportName,schemaFile,primaryDomainOwner,lifecycleStatus,forkRelevance,notes
accounts,accounts,schema.ts,accounting,canonical,adjacent,
achievements,achievements,schema-gamification.ts,cross-product,canonical,adjacent,
admin_impersonation_actions,adminImpersonationActions,schema-vip-portal.ts,cross-product,canonical,adjacent,
admin_impersonation_sessions,adminImpersonationSessions,schema-vip-portal.ts,cross-product,canonical,adjacent,
alert_configurations,alertConfigurations,schema.ts,cross-product,canonical,adjacent,
appointment_check_ins,appointmentCheckIns,schema-scheduling.ts,calendar,exception,exception-surface,
appointment_referrals,appointmentReferrals,schema-scheduling.ts,calendar,exception,exception-surface,
appointment_requests,appointmentRequests,schema.ts,calendar,exception,exception-surface,Scheduling remains an exception-owned surface.
appointment_status_history,appointmentStatusHistory,schema-scheduling.ts,calendar,exception,exception-surface,
appointment_types,appointmentTypes,schema.ts,calendar,exception,exception-surface,
auditLogs,auditLogs,schema.ts,cross-product,canonical,adjacent,
bankAccounts,bankAccounts,schema.ts,accounting,canonical,adjacent,
bankTransactions,bankTransactions,schema.ts,accounting,canonical,adjacent,
batch_status_history,batchStatusHistory,schema.ts,operations,canonical,adjacent,
batch_zone_assignments,batchZoneAssignments,schema-storage.ts,operations,canonical,adjacent,
batches,batches,schema.ts,operations,canonical,pilot-core,Inventory pilot primary entity.
batchLocations,batchLocations,schema.ts,operations,canonical,adjacent,
billLineItems,billLineItems,schema.ts,accounting,canonical,adjacent,
bills,bills,schema.ts,accounting,canonical,adjacent,
brands,brands,schema.ts,relationships,canonical,adjacent,
calendar_availability,calendarAvailability,schema.ts,calendar,exception,exception-surface,
calendar_blocked_dates,calendarBlockedDates,schema.ts,calendar,exception,exception-surface,
calendar_event_attachments,calendarEventAttachments,schema.ts,calendar,exception,exception-surface,
calendar_event_history,calendarEventHistory,schema.ts,calendar,exception,exception-surface,
calendar_event_invitations,calendarEventInvitations,schema.ts,calendar,exception,exception-surface,
calendar_event_participants,calendarEventParticipants,schema.ts,calendar,exception,exception-surface,
calendar_event_permissions,calendarEventPermissions,schema.ts,calendar,exception,exception-surface,
calendar_events,calendarEvents,schema.ts,calendar,exception,exception-surface,Calendar/scheduling remains an exception-owned surface.
calendar_invitation_history,calendarInvitationHistory,schema.ts,calendar,exception,exception-surface,
calendar_invitation_settings,calendarInvitationSettings,schema.ts,calendar,exception,exception-surface,
calendar_recurrence_instances,calendarRecurrenceInstances,schema.ts,calendar,exception,exception-surface,
calendar_recurrence_rules,calendarRecurrenceRules,schema.ts,calendar,exception,exception-surface,
calendar_reminders,calendarReminders,schema.ts,calendar,exception,exception-surface,
calendar_user_access,calendarUserAccess,schema.ts,calendar,exception,exception-surface,
calendar_views,calendarViews,schema.ts,calendar,exception,exception-surface,
calendars,calendars,schema.ts,calendar,exception,exception-surface,
cash_location_transactions,cashLocationTransactions,schema.ts,platform,canonical,ignore-v1,
cash_locations,cashLocations,schema.ts,platform,canonical,ignore-v1,
categories,categories,schema.ts,relationships,canonical,adjacent,
client_achievements,clientAchievements,schema-gamification.ts,relationships,canonical,adjacent,
client_activity,clientActivity,schema.ts,relationships,canonical,adjacent,
client_catalog_views,clientCatalogViews,schema-vip-portal.ts,relationships,canonical,adjacent,
client_communications,clientCommunications,schema.ts,relationships,canonical,adjacent,
client_credit_limits,clientCreditLimits,schema.ts,relationships,canonical,adjacent,
client_crypto_wallets,clientCryptoWallets,schema-sprint5-trackd.ts,relationships,canonical,adjacent,
client_draft_interests,clientDraftInterests,schema-vip-portal.ts,relationships,canonical,adjacent,
client_interest_list_items,clientInterestListItems,schema-vip-portal.ts,relationships,canonical,adjacent,
client_interest_lists,clientInterestLists,schema-vip-portal.ts,relationships,canonical,adjacent,
client_ledger_adjustments,clientLedgerAdjustments,schema.ts,relationships,canonical,adjacent,
client_meeting_history,clientMeetingHistory,schema.ts,relationships,canonical,adjacent,
client_needs,clientNeeds,schema.ts,relationships,canonical,adjacent,
client_notes,clientNotes,schema.ts,relationships,canonical,adjacent,
client_payment_terms_config,clientPaymentTermsConfig,schema-sprint5-trackd.ts,relationships,canonical,adjacent,
client_points_summary,clientPointsSummary,schema-gamification.ts,relationships,canonical,adjacent,
client_price_alerts,clientPriceAlerts,schema-vip-portal.ts,relationships,canonical,adjacent,
client_referral_codes,clientReferralCodes,schema-gamification.ts,relationships,canonical,adjacent,
client_transaction_fees,clientTransactionFees,schema-sprint5-trackd.ts,relationships,canonical,adjacent,
client_transactions,clientTransactions,schema.ts,relationships,canonical,adjacent,
client_vip_status,clientVipStatus,schema-vip-portal.ts,relationships,canonical,adjacent,
client_want_matches,clientWantMatches,schema-client360.ts,relationships,canonical,adjacent,
client_wants,clientWants,schema-client360.ts,relationships,canonical,adjacent,
clients,clients,schema.ts,relationships,canonical,pilot-core,Canonical party table for buyers and suppliers.
clientTags,clientTags,schema.ts,relationships,canonical,adjacent,
cogs_rules,cogsRules,schema.ts,cross-product,canonical,adjacent,
cogsHistory,cogsHistory,schema.ts,cross-product,canonical,adjacent,
comment_mentions,commentMentions,schema.ts,cross-product,canonical,adjacent,
comments,comments,schema.ts,platform,canonical,ignore-v1,
couch_tax_payouts,couchTaxPayouts,schema-gamification.ts,cross-product,canonical,adjacent,
credit_audit_log,creditAuditLog,schema.ts,accounting,canonical,adjacent,
credit_override_requests,creditOverrideRequests,schema.ts,accounting,canonical,adjacent,
credit_signal_history,creditSignalHistory,schema.ts,accounting,canonical,adjacent,
credit_system_settings,creditSystemSettings,schema.ts,accounting,canonical,adjacent,
credit_visibility_settings,creditVisibilitySettings,schema.ts,accounting,canonical,adjacent,
creditApplications,creditApplications,schema.ts,accounting,canonical,adjacent,
credits,credits,schema.ts,accounting,canonical,adjacent,
cron_leader_lock,cronLeaderLock,schema-cron.ts,cross-product,canonical,adjacent,
crypto_payments,cryptoPayments,schema-sprint5-trackd.ts,cross-product,canonical,adjacent,
custom_finance_statuses,customFinanceStatuses,schema.ts,cross-product,canonical,adjacent,
dashboard_kpi_configs,dashboardKpiConfigs,schema.ts,platform,canonical,ignore-v1,
dashboard_widget_configs,dashboardWidgetConfigs,schema.ts,platform,canonical,ignore-v1,
dashboard_widget_layouts,dashboardWidgetLayouts,schema.ts,platform,canonical,ignore-v1,
delivery_schedules,deliverySchedules,schema-scheduling.ts,cross-product,canonical,adjacent,
demo_media_blobs,demoMediaBlobs,schema.ts,cross-product,exception,exception-surface,"Media blob storage is supporting infrastructure, not a pilot sheet core."
deployments,deployments,schema.ts,platform,canonical,ignore-v1,
dispute_attachments,disputeAttachments,schema-sprint5-trackd.ts,cross-product,canonical,adjacent,
dispute_notes,disputeNotes,schema-sprint5-trackd.ts,cross-product,canonical,adjacent,
employee_shifts,employeeShifts,schema-scheduling.ts,cross-product,canonical,adjacent,
employee_timesheets,employeeTimesheets,schema-scheduling.ts,cross-product,canonical,adjacent,
expenseCategories,expenseCategories,schema.ts,accounting,canonical,adjacent,
expenses,expenses,schema.ts,accounting,canonical,adjacent,
feature_flag_audit_logs,featureFlagAuditLogs,schema-feature-flags.ts,cross-product,canonical,adjacent,
feature_flag_role_overrides,featureFlagRoleOverrides,schema-feature-flags.ts,cross-product,canonical,adjacent,
feature_flag_user_overrides,featureFlagUserOverrides,schema-feature-flags.ts,cross-product,canonical,adjacent,
feature_flags,featureFlags,schema-feature-flags.ts,cross-product,canonical,adjacent,
fiscalPeriods,fiscalPeriods,schema.ts,accounting,canonical,adjacent,
freeform_notes,freeformNotes,schema.ts,cross-product,canonical,adjacent,
grades,grades,schema.ts,relationships,canonical,adjacent,
idempotency_keys,idempotencyKeys,schema.ts,cross-product,canonical,adjacent,
inbox_items,inboxItems,schema.ts,cross-product,canonical,adjacent,
installment_plans,installmentPlans,schema-sprint5-trackd.ts,cross-product,canonical,adjacent,
installments,installments,schema-sprint5-trackd.ts,cross-product,canonical,adjacent,
intake_discrepancies,intakeDiscrepancies,schema.ts,operations,canonical,adjacent,
intake_receipt_items,intakeReceiptItems,schema.ts,operations,canonical,adjacent,
intake_receipts,intakeReceipts,schema.ts,operations,canonical,adjacent,
intake_session_batches,intakeSessionBatches,schema.ts,operations,canonical,adjacent,
intake_sessions,intakeSessions,schema.ts,operations,canonical,adjacent,
inventoryAlerts,inventoryAlerts,schema.ts,operations,canonical,adjacent,
inventoryMovements,inventoryMovements,schema.ts,operations,canonical,pilot-core,Inventory pilot movement and audit core table.
inventoryViews,inventoryViews,schema.ts,operations,canonical,pilot-core,Inventory pilot saved-view support table.
invoice_disputes,invoiceDisputes,schema-sprint5-trackd.ts,accounting,canonical,adjacent,
invoice_payments,invoicePayments,schema.ts,accounting,canonical,adjacent,
invoiceLineItems,invoiceLineItems,schema.ts,accounting,canonical,adjacent,
invoices,invoices,schema.ts,accounting,canonical,adjacent,Accounting-owned output and billing surface adjacent to Orders.
leaderboard_default_weights,leaderboardDefaultWeights,schema.ts,platform,canonical,ignore-v1,
leaderboard_display_settings,leaderboardDisplaySettings,schema-gamification.ts,platform,canonical,ignore-v1,
leaderboard_metric_cache,leaderboardMetricCache,schema.ts,platform,canonical,ignore-v1,
leaderboard_rank_history,leaderboardRankHistory,schema.ts,platform,canonical,ignore-v1,
leaderboard_weight_configs,leaderboardWeightConfigs,schema.ts,platform,canonical,ignore-v1,
ledgerEntries,ledgerEntries,schema.ts,accounting,canonical,adjacent,
liveShoppingSessions,liveShoppingSessions,schema-live-shopping.ts,live-shopping,exception,exception-surface,Live shopping remains an exception-owned surface.
locations,locations,schema.ts,operations,canonical,adjacent,Adjacent setup/transfer surface; not owned by first inventory sheet.
lots,lots,schema.ts,operations,canonical,pilot-core,
match_records,matchRecords,schema.ts,cross-product,canonical,adjacent,
note_activity,noteActivity,schema.ts,cross-product,canonical,adjacent,
note_comments,noteComments,schema.ts,cross-product,canonical,adjacent,
notification_preferences,notificationPreferences,schema.ts,cross-product,canonical,adjacent,
notifications,notifications,schema.ts,platform,canonical,ignore-v1,
office_supply_items,officeSupplyItems,schema-client360.ts,cross-product,canonical,adjacent,
office_supply_needs,officeSupplyNeeds,schema-client360.ts,cross-product,canonical,adjacent,
order_audit_log,orderAuditLog,schema.ts,sales,canonical,adjacent,
order_bags,orderBags,schema.ts,sales,canonical,adjacent,
order_item_bags,orderItemBags,schema.ts,sales,canonical,adjacent,
order_line_item_allocations,orderLineItemAllocations,schema.ts,sales,canonical,adjacent,
order_line_items,orderLineItems,schema.ts,sales,canonical,pilot-core,Sales Orders pilot core child table.
order_price_adjustments,orderPriceAdjustments,schema.ts,sales,canonical,adjacent,
order_service_charges,orderServiceCharges,schema-sprint5-trackd.ts,sales,canonical,adjacent,
order_status_history,orderStatusHistory,schema.ts,sales,canonical,adjacent,
order_transaction_fees,orderTransactionFees,schema-sprint5-trackd.ts,sales,canonical,adjacent,
orders,orders,schema.ts,sales,canonical,pilot-core,Sales Orders pilot core table.
organization_settings,organizationSettings,schema.ts,platform,canonical,ignore-v1,
overtime_rules,overtimeRules,schema-scheduling.ts,cross-product,canonical,adjacent,
payable_notifications,payableNotifications,schema.ts,accounting,canonical,adjacent,
paymentHistory,paymentHistory,schema.ts,accounting,canonical,adjacent,
paymentMethods,paymentMethods,schema.ts,accounting,canonical,adjacent,
payments,payments,schema.ts,accounting,canonical,adjacent,Accounting-owned payment surface adjacent to Orders.
permissions,permissions,schema-rbac.ts,platform,canonical,ignore-v1,
points_ledger,pointsLedger,schema-gamification.ts,cross-product,canonical,adjacent,
price_history,priceHistory,schema.ts,cross-product,canonical,adjacent,
pricing_defaults,pricingDefaults,schema.ts,cross-product,canonical,adjacent,
pricing_profiles,pricingProfiles,schema.ts,cross-product,canonical,adjacent,
pricing_rules,pricingRules,schema.ts,cross-product,canonical,adjacent,
product_categories,productCategories,schema-sprint5-trackd.ts,cross-product,canonical,adjacent,
product_category_assignments,productCategoryAssignments,schema-sprint5-trackd.ts,cross-product,canonical,adjacent,
product_grades,productGrades,schema-sprint5-trackd.ts,cross-product,canonical,adjacent,
product_images,productImages,schema.ts,cross-product,exception,exception-surface,Photography review remains exception-owned even if lightweight media appears elsewhere.
productMedia,productMedia,schema.ts,cross-product,canonical,adjacent,
products,products,schema.ts,relationships,canonical,pilot-core,
productSynonyms,productSynonyms,schema.ts,cross-product,canonical,adjacent,
productTags,productTags,schema.ts,cross-product,canonical,adjacent,
purchaseOrderItems,purchaseOrderItems,schema.ts,cross-product,canonical,adjacent,
purchaseOrders,purchaseOrders,schema.ts,operations,canonical,adjacent,
receipts,receipts,schema.ts,accounting,canonical,adjacent,
recurring_orders,recurringOrders,schema.ts,cross-product,canonical,adjacent,
referral_credits,referralCredits,schema.ts,accounting,canonical,adjacent,
referral_settings,referralGamificationSettings,schema-gamification.ts,accounting,canonical,adjacent,
referral_settings,referralCreditSettings,schema.ts,accounting,canonical,adjacent,
referral_tracking,referralTracking,schema-gamification.ts,accounting,canonical,adjacent,
returns,returns,schema.ts,sales,canonical,adjacent,Orders-adjacent handoff domain with separate ownership decisions.
reward_catalog,rewardCatalog,schema-gamification.ts,cross-product,canonical,adjacent,
reward_redemptions,rewardRedemptions,schema-gamification.ts,cross-product,canonical,adjacent,
role_permissions,rolePermissions,schema-rbac.ts,cross-product,canonical,adjacent,
roles,roles,schema-rbac.ts,platform,canonical,ignore-v1,
room_bookings,roomBookings,schema-scheduling.ts,cross-product,canonical,adjacent,
rooms,rooms,schema-scheduling.ts,calendar,exception,exception-surface,
sales,sales,schema.ts,sales,canonical,adjacent,
sales_sheet_drafts,salesSheetDrafts,schema.ts,sales,canonical,adjacent,
sales_sheet_history,salesSheetHistory,schema.ts,sales,canonical,adjacent,
sales_sheet_templates,salesSheetTemplates,schema.ts,sales,canonical,adjacent,
salesSheetVersions,salesSheetVersions,schema.ts,sales,canonical,adjacent,
sample_inventory_log,sampleInventoryLog,schema.ts,operations,canonical,adjacent,
sampleAllocations,sampleAllocations,schema.ts,operations,canonical,adjacent,
sampleLocationHistory,sampleLocationHistory,schema.ts,operations,canonical,adjacent,
sampleRequests,sampleRequests,schema.ts,operations,canonical,adjacent,
scratch_pad_notes,scratchPadNotes,schema.ts,cross-product,canonical,adjacent,
sequences,sequences,schema.ts,cross-product,canonical,adjacent,
service_definitions,serviceDefinitions,schema-sprint5-trackd.ts,cross-product,canonical,adjacent,
service_invoice_line_items,serviceInvoiceLineItems,schema-sprint5-trackd.ts,cross-product,canonical,adjacent,
service_invoices,serviceInvoices,schema-sprint5-trackd.ts,cross-product,canonical,adjacent,
sessionCartItems,sessionCartItems,schema-live-shopping.ts,live-shopping,exception,exception-surface,Live shopping remains an exception-owned surface.
sessionPriceOverrides,sessionPriceOverrides,schema-live-shopping.ts,live-shopping,exception,exception-surface,
shift_audits,shiftAudits,schema.ts,cross-product,canonical,adjacent,
shift_templates,shiftTemplates,schema-scheduling.ts,cross-product,canonical,adjacent,
site_inventory_counts,siteInventoryCounts,schema-storage.ts,cross-product,canonical,adjacent,
site_transfers,siteTransfers,schema-storage.ts,cross-product,canonical,adjacent,Storage transfer surface adjacent to Inventory.
sites,sites,schema-storage.ts,operations,canonical,adjacent,
storage_zones,storageZones,schema-storage.ts,cross-product,canonical,adjacent,
strains,strains,schema.ts,relationships,canonical,adjacent,
subcategories,subcategories,schema.ts,relationships,canonical,adjacent,
supplier_profiles,supplierProfiles,schema.ts,cross-product,canonical,pilot-core,Canonical supplier extension for party-model future state.
tagGroupMembers,tagGroupMembers,schema.ts,cross-product,canonical,adjacent,
tagGroups,tagGroups,schema.ts,relationships,canonical,adjacent,
tagHierarchy,tagHierarchy,schema.ts,cross-product,canonical,adjacent,
tags,tags,schema.ts,relationships,canonical,adjacent,
time_entries,timeEntries,schema-scheduling.ts,cross-product,canonical,adjacent,
time_off_requests,timeOffRequests,schema.ts,cross-product,canonical,adjacent,
timesheet_periods,timesheetPeriods,schema-scheduling.ts,cross-product,canonical,adjacent,
todo_list_members,todoListMembers,schema.ts,platform,canonical,ignore-v1,
todo_lists,todoLists,schema.ts,platform,canonical,ignore-v1,
todo_task_activity,todoTaskActivity,schema.ts,platform,canonical,ignore-v1,
todo_tasks,todoTasks,schema.ts,platform,canonical,ignore-v1,
transactionLinks,transactionLinks,schema.ts,cross-product,canonical,adjacent,
transactions,transactions,schema.ts,accounting,canonical,adjacent,
unit_types,unitTypes,schema.ts,cross-product,canonical,adjacent,
user_mentions,userMentions,schema-scheduling.ts,cross-product,canonical,adjacent,
user_permission_overrides,userPermissionOverrides,schema-rbac.ts,cross-product,canonical,adjacent,
user_preferences,userPreferences,schema.ts,cross-product,canonical,adjacent,
user_roles,userRoles,schema-rbac.ts,cross-product,canonical,adjacent,
userDashboardPreferences,userDashboardPreferences,schema.ts,cross-product,canonical,adjacent,
users,users,schema.ts,cross-product,canonical,adjacent,
variable_markup_rules,variableMarkupRules,schema.ts,cross-product,canonical,adjacent,
vendor_harvest_reminders,vendorHarvestReminders,schema.ts,cross-product,canonical,adjacent,
vendor_payables,vendorPayables,schema.ts,cross-product,canonical,adjacent,
vendor_return_items,vendorReturnItems,schema.ts,cross-product,canonical,adjacent,
vendor_returns,vendorReturns,schema.ts,cross-product,canonical,adjacent,
vendor_supply,vendorSupply,schema.ts,cross-product,canonical,adjacent,
vendorNotes,vendorNotes,schema.ts,cross-product,deprecated,adjacent,Legacy supplier note storage linked to vendors; requires alias decision before fork consumption.
vendors,vendors,schema.ts,relationships,deprecated,adjacent,"Canonical party-model conflict: still used in runtime, but fork should treat clients plus supplierProfiles as canonical."
vip_leaderboard_snapshots,vipLeaderboardSnapshots,schema-gamification.ts,cross-product,canonical,adjacent,
vip_portal_auth,vipPortalAuth,schema-vip-portal.ts,cross-product,exception,exception-surface,VIP portal remains an exception-owned surface.
vip_portal_auth,vipPortalAuth,schema.ts,cross-product,exception,exception-surface,VIP portal remains an exception-owned surface.
vip_portal_configurations,vipPortalConfigurations,schema-vip-portal.ts,cross-product,exception,exception-surface,VIP portal remains an exception-owned surface.
vip_portal_configurations,vipPortalConfigurations,schema.ts,cross-product,exception,exception-surface,VIP portal remains an exception-owned surface.
vip_tier_history,vipTierHistory,schema-vip-portal.ts,cross-product,canonical,adjacent,
vip_tiers,vipTiers,schema-vip-portal.ts,cross-product,canonical,adjacent,
workflow_statuses,workflowStatuses,schema.ts,cross-product,canonical,adjacent,
