Capability ID,Workbook,Repo Snapshot,Current Surface,Flow Matrix Rows / Procedures,Flow Guide Sections,Feature Modules / IDs,Preservation Entries,Golden Flows,Discrepancies / Open Questions,User Job,Capability,Criticality,Trigger,Success Criteria,Roles,Permissions / Access Rules,Current UI Surface,Validations / Guards,Data Entities,API / Service Dependencies,Outputs / Side Effects,Hidden Dependencies,Failure Mode if Lost,Target Sheet Pattern,Migration Classification,Sidecar / Exception Need,Parity Test Requirement,Evidence Required,Owner,Status
OPS-INV-001,Operations -> Inventory,00fbedf608cff51b0e73b61057b9907b4eee24b2,/inventory?tab=inventory,"batches.list; inventoryMovements.getSummary; none found in matrix for inventory.getEnhanced, inventory.list, inventory.dashboardStats",Domain 3.1 Batches; Domain 3.2 Inventory Movements,DF-013; DF-079,DF-013; INV-001; INV-003,GF-007,none identified,Find the right batch quickly and understand current stock posture,"Browse, search, sort, and filter inventory batches with live sheet stats",P0,"Inventory workbook opens or user changes search, sort, or filters","Batch list, paging, filter chips, and summary stats stay in sync with current inventory state",Inventory Staff; Manager; Sales Rep,inventory:read,InventoryWorkspacePage -> InventoryWorkSurface table and gallery modes,Filter state persists; low stock and age signals stay accurate; refresh path exists,batches; products; suppliers; brands; inventory aggregates,inventory.getEnhanced; inventory.list; inventory.dashboardStats; batches.list; inventoryMovements.getSummary,"Users see current filtered inventory, counts, aging cues, and stock signals",Saved views; local view state; route telemetry; stock status tokens,Users cannot trust what inventory exists or what needs action,registry-sheet,sheet-native,none,Targeted browse and filter E2E plus role proof,Screenshot; route proof; role proof; refresh proof,Inventory pilot team,mapped
OPS-INV-002,Operations -> Inventory,00fbedf608cff51b0e73b61057b9907b4eee24b2,/inventory/:id and in-sheet inspector,batches.getById; batches.getAvailableQuantity; inventoryMovements.getByBatch; cogs.getHistory,Domain 3.1 Batches; Domain 3.2 Inventory Movements; Domain 3.3 COGS Management,DF-079,INV-002; INV-003,GF-007,INV-D007,Open a batch and understand its details before acting,"Inspect a selected batch with quantity, history, and supporting context",P0,User selects a batch row or deep links to a batch,"Inspector shows the correct batch, availability context, and supporting history for the selected record",Inventory Staff; Manager; Sales Rep,inventory:read,InventoryWorkSurface inspector panel and deep-link detail route,Selection stays synchronized; stale selections clear safely; deep links resolve to the same batch,batches; inventory_movements; batch locations; cost history,batches.getById; inventoryMovements.getByBatch; inventory.getById legacy path,Users can review batch context without losing list position,Inspector state; optimistic-lock version tracking; deep-link routing,"Wrong batch may be edited or reviewed, creating inventory mistakes",registry-sheet,sheet-plus-sidecar,Inspector is required for dense detail and history,E2E row selection plus deep-link parity,Inspector screenshot; route proof; batch history proof,Inventory pilot team,mapped
OPS-INV-003,Operations -> Inventory,00fbedf608cff51b0e73b61057b9907b4eee24b2,/inventory?tab=inventory Add Inventory modal,"batches.create; strains.getOrCreate; none found in matrix for inventory.intake, inventory.vendors, inventory.brands, settings.categories.list, settings.grades.list, settings.locations.list, organizationSettings.getDisplaySettings, inventory.uploadMedia, inventory.deleteMedia",Domain 3.1 Batches; Domain 3.5 Strains,DF-010; DF-077; DF-079,DF-010; INV-001; DF-053,GF-001; GF-002,INV-D006,Add new inventory from the inventory sheet without leaving the workflow,Create inventory intake records and resulting batches from the inventory surface,P0,User clicks Add Inventory or equivalent quick action,"New inventory is created with correct supplier, brand, product, strain, quantities, and optional lightweight media",Inventory Staff; Manager,inventory:create; inventory:read; settings read access,InventoryWorkSurface PurchaseModal launched from the sheet,"Required fields, intake validation, nomenclature settings, and media constraints all hold",intake payloads; batches; products; strains; suppliers; brands; categories; grades; locations; media metadata,inventory.intake; inventory.vendors; inventory.brands; strains.getOrCreate; settings.categories.list; settings.grades.list; settings.locations.list; organizationSettings.getDisplaySettings; inventory.uploadMedia; inventory.deleteMedia,"Inventory is created, related master data resolves, and optional media attaches without leaving the flow",Supplier and brand lookup; organization display settings; intake receipts and labeling downstream,New stock cannot be added reliably from the inventory surface,document-sheet,sheet-plus-sidecar,Modal or inspector-style composer required; heavy photography remains excluded,Golden flow style intake proof from inventory surface,Create proof; resulting batch proof; role proof; media attachment proof,Inventory pilot team,mapped
OPS-INV-004,Operations -> Inventory,00fbedf608cff51b0e73b61057b9907b4eee24b2,/inventory?tab=inventory selected batch status edit,batches.updateStatus; none found in matrix for inventory.updateStatus current workbook path,Domain 3.1 Batches,DF-079,INV-002,GF-007,none identified,Correct a batch status without breaking auditability,Update batch status transitions from the inventory sheet,P0,"User edits status from the inspector, action menu, or edit dialog","Status changes persist, obey transition rules, surface filter-exit notices, and leave audit evidence with a short undo window",Inventory Staff; Manager,inventory:update,"InventoryWorkSurface status picker, edit dialog, and sheet actions",Valid status transitions; optimistic locking; filter-exit notification; short undo window,batches; audit logs; status filters,inventory.updateStatus; batches.updateStatus legacy path,"Batch status changes are saved, audit logged, and can be undone briefly",Optimistic locking; automatic quarantine synchronization; route filters may hide updated rows; 10-second undo,Batch state becomes unsafe or invisible to the wrong users,registry-sheet,sheet-native,Inspector for complex status review and reason capture,State transition E2E plus undo and audit proof,Mutation proof; audit proof; undo proof; conflict proof,Inventory pilot team,mapped
OPS-INV-005,Operations -> Inventory,00fbedf608cff51b0e73b61057b9907b4eee24b2,/inventory?tab=inventory adjust quantity,inventoryMovements.adjust; inventoryMovements.increase; inventoryMovements.decrease; inventoryMovements.validateAvailability; inventoryMovements.reverse; none found in matrix for inventory.adjustQty,Domain 3.2 Inventory Movements,DF-079,INV-003,GF-007,none identified,"Correct live quantities without breaking audit, stock safety, or status synchronization","Adjust batch quantity with movement logging, negative-inventory guards, and version checks",P0,User opens Adjust Quantity dialog or sheet action,"Quantity changes persist exactly once, movement rows are created, negative inventory is blocked, recent adjustments can be undone, and audit history remains consistent",Manager; Inventory Staff,inventory:update,AdjustQuantityDialog launched from InventoryWorkSurface,No negative inventory; required reason; optimistic lock; quarantine and on-hand synchronization,batches; inventory_movements; audit_logs,inventory.adjustQty; inventoryMovements.adjust; inventoryMovements.validateAvailability; inventoryMovements.reverse,Batch quantities and movement history stay aligned and are briefly undoable,Optimistic locking; audit reasons; stock-status recalculation; downstream reservations; 10-second undo,Inventory truth diverges from actual stock and audit trail becomes unreliable,review-sheet,sheet-plus-sidecar,Adjustment dialog required for reason capture and conflict handling,Golden flow inventory adjustment plus race-condition regression,Dialog proof; audit proof; undo proof; negative guard proof; conflict proof,Inventory pilot team,mapped
OPS-INV-006,Operations -> Inventory,00fbedf608cff51b0e73b61057b9907b4eee24b2,/inventory?tab=inventory bulk selection actions,"batches.updateStatus; batches.delete; none found in matrix for inventory.bulk.updateStatus, inventory.bulk.delete, inventory.bulk.restore",Domain 3.1 Batches,DF-079,INV-001,GF-007,none identified,Update or recover multiple selected batches efficiently,"Bulk update status, soft-delete, and restore selected batches from the sheet",P1,User multi-selects rows and triggers a bulk action,"Selected rows update consistently, only zero-on-hand rows can be deleted, partial failures are visible, and recent deletes can be restored",Manager; Inventory Staff,inventory:update; inventory:delete,"InventoryWorkSurface selection model, bulk action bar, undo toast, and confirm dialogs",Selection must be explicit; destructive actions require confirmation; delete eligibility depends on zero on-hand quantity; restore must preserve prior status,batches; audit_logs; bulk selection state,inventory.bulk.updateStatus; inventory.bulk.delete; inventory.bulk.restore,Selected rows update together and recent deletes can be undone or restored when supported,Selection state; destructive confirmation; prior-status capture for restore; zero-on-hand eligibility; 10-second undo,"High-volume maintenance becomes slow or unsafe, increasing operator error",registry-sheet,sheet-native,Confirm dialogs only for destructive actions,Bulk action regression pass,Bulk update proof; delete eligibility proof; restore proof; partial failure proof,Inventory pilot team,mapped
OPS-INV-007,Operations -> Inventory,00fbedf608cff51b0e73b61057b9907b4eee24b2,/inventory/:id/movements and in-sheet history views,inventoryMovements.getByBatch; inventoryMovements.getByReference; inventoryMovements.getSummary; inventoryMovements.reverse,Domain 3.2 Inventory Movements,DF-079,INV-003,GF-007,none identified,"Trace how stock changed and, when needed, reverse the right movement","Review movement history, reference traces, and reversal paths for a selected batch",P1,User opens history for a selected batch or drills into movement references,History shows the right records in the right order and reversal paths preserve auditability,Inventory Staff; Manager; Auditor,inventory:read; inventory:update for reversal,InventoryWorkSurface inspector/history area or linked review surface,History must resolve by batch and by reference; reversals require explicit reason and access,inventory_movements; batches; order and intake references,inventoryMovements.getByBatch; inventoryMovements.getByReference; inventoryMovements.getSummary; inventoryMovements.reverse,Users can understand and undo the right stock event,Cross-reference IDs; reversal permissions; movement-type semantics,Users lose the ability to explain or correct inventory changes safely,review-sheet,sheet-plus-sidecar,History sidecar or linked review panel required,History and reversal regression,History proof; reversal proof; permission proof,Inventory pilot team,mapped
OPS-INV-008,Operations -> Inventory,00fbedf608cff51b0e73b61057b9907b4eee24b2,Legacy /inventory/:id and /inventory/reports references,cogs.getCOGS; cogs.calculateImpact; cogs.updateBatchCogs; cogs.getHistory; cogs.getCOGSByBatch,Domain 3.3 COGS Management,DF-059; DF-079,INV-001,none identified,INV-D007,Understand batch value and cost impact from inventory context,Review and update batch COGS and valuation from inventory-linked surfaces,P1,User opens cost detail or valuation analysis for a batch,Value and cost information is available where inventory decisions require it without inventing new financial logic,Manager; Accounting; Inventory Lead,inventory:read or accounting-related read access depending on final ownership,Current ownership unclear between legacy inventory detail and dedicated reporting surfaces,Do not bypass accounting rules; read and update permissions must remain explicit,batches; cogs history; valuation reports,cogs.getCOGS; cogs.calculateImpact; cogs.updateBatchCogs; cogs.getHistory; cogs.getCOGSByBatch,Users can review cost impact without spreadsheet formulas,Accounting ownership; reporting surface ownership; downstream margin logic,"Margin, value, and write-down decisions lose trustworthy context",review-sheet,intentionally-deferred,Likely review/report sidecar or linked accounting surface,Ownership clarification plus targeted regression once surfaced,Source reconciliation; eventual UI proof; role proof,Inventory pilot team,blocked
OPS-INV-009,Operations -> Inventory,00fbedf608cff51b0e73b61057b9907b4eee24b2,/inventory/:id transfer actions and linked transfer history,warehouseTransfers.transfer; warehouseTransfers.getTransferHistory; none found in matrix for warehouseTransfers.getBatchLocations and warehouseTransfers.getStats,Domain 17.2 Transfers; Domain 17.3 Warehouse Transfers,DF-013; DF-024,DF-013,none identified,INV-D004,Move stock between locations without losing location truth,Initiate transfer handoff and inspect transfer history from inventory context,P1,User starts or reviews a transfer for a selected batch,"Transfer intent, status, and history remain accessible from inventory context even if execution lives elsewhere",Warehouse Staff; Manager,inventory:update; storage or warehouse transfer access,Current UI ownership unclear between inventory sheet and locations surfaces,"Location availability, transfer status transitions, and receiving/shipping ownership must remain explicit",batches; transfers; storage sites; zones; batch locations,warehouseTransfers.transfer; warehouseTransfers.getTransferHistory; warehouseTransfers.getBatchLocations; warehouseTransfers.getStats,Users can move stock and verify where it went,Locations surface ownership; site and zone setup; receiving confirmation downstream,Location truth drifts and inter-site movement becomes opaque,review-sheet,sheet-plus-sidecar,Likely transfer sidecar or linked locations sheet,Cross-surface transfer regression,Transfer proof; history proof; location proof,Inventory pilot team,blocked
OPS-INV-010,Operations -> Inventory,00fbedf608cff51b0e73b61057b9907b4eee24b2,/locations and /locations/transfers,storage.listSites; storage.getSite; storage.createSite; storage.updateSite; storage.deleteSite; storage.listZones; storage.createZone; storage.updateZone; storage.deleteZone; storage.listTransfers; storage.createTransfer; storage.shipTransfer; storage.receiveTransfer; storage.cancelTransfer,Domain 17.1 Storage Sites and Zones; Domain 17.2 Transfers,DF-013; DF-024,DF-013,none identified,INV-D004,Configure the storage system that inventory depends on,"Manage sites, zones, and transfer administration adjacent to the inventory workbook",P1,User opens locations or transfer admin surfaces,"Site and zone admin remain available, but are not forced into the first inventory sheet pilot",Admin; Manager; Warehouse Staff,Storage and admin permissions per route,LocationsPage and transfer admin surfaces outside the first inventory sheet pilot,Storage admin should not be accidentally merged into core batch browsing,storage sites; zones; transfers; batch locations,storage.listSites; storage.createSite; storage.updateSite; storage.deleteSite; storage.listZones; storage.createZone; storage.updateZone; storage.deleteZone; storage.listTransfers; storage.createTransfer; storage.shipTransfer; storage.receiveTransfer; storage.cancelTransfer,Location administration remains available as an adjacent future sheet,Settings ownership; transfer execution workflows; warehouse staffing rules,"The inventory pilot swallows setup work and becomes bloated, or location admin is lost",setup-sheet,intentionally-deferred,Separate Operations -> Locations sheet expected,Route preservation and ownership sign-off,Route proof; ownership sign-off,Inventory pilot team,blocked
OPS-INV-011,Operations -> Inventory,00fbedf608cff51b0e73b61057b9907b4eee24b2,/inventory?tab=inventory view controls,"none found in matrix for inventory.views.list, inventory.views.save, inventory.views.delete, gallery thumbnails, export flow, or persisted local view state",No exact flow guide section; current code only,DF-079,none found,none identified,none identified,Reuse a preferred view and export the current result set,"Save views, switch between table and gallery modes, and export the current inventory slice",P2,"User saves a view, changes visual mode, or exports filtered results","Saved views reload correctly, shared and private view ownership stays intact, gallery thumbnails load for the visual slice, and export respects filters and truncation rules",Inventory Staff; Manager,inventory:read; only private views are deletable in the current surface; photography read dependency where thumbnail access is enforced,"InventoryWorkSurface toolbar, SavedViewsDropdown, SaveViewModal, export action, and table or gallery switch",Exports must respect the filtered slice and row caps; shared views must not leak ownership incorrectly; gallery thumbnails should only load for the visible slice,saved views; inventory filters; export rows; local state; batch thumbnails,inventory.views.list; inventory.views.save; inventory.views.delete; photography.getBatchImages; useExport flow,Users can preserve and share working context instead of rebuilding it each session,Local storage; export size caps; gallery thumbnail loading window; shared and private view ownership,"Power users lose efficiency, thumbnails disappear unexpectedly, or the view layer leaks across users",registry-sheet,sheet-native,none,"Toolbar regression including saved views, gallery, and export",Saved-view proof; gallery proof; export proof; role proof,Inventory pilot team,mapped
OPS-INV-012,Operations -> Inventory,00fbedf608cff51b0e73b61057b9907b4eee24b2,/inventory?tab=inventory Add Inventory modal media support,none found in matrix for inventory.uploadMedia and inventory.deleteMedia,No exact flow guide section; current code only,DF-077; DF-079,none found,none identified,none identified,Attach lightweight media while creating inventory without turning the sheet into a photography tool,"Support simple media attachment during intake from inventory, while keeping heavy review in the photography exception surface",P2,User adds or removes simple media inside the add-inventory flow,"Inventory can accept lightweight attachments, but photography review remains a separate surface",Inventory Staff; Manager,inventory:create; inventory:update as required,PurchaseModal lightweight media area only,Must not become full photography review; uploads and deletes must stay scoped to the intake flow,media assets; intake drafts; batches,inventory.uploadMedia; inventory.deleteMedia,Simple media can be attached during intake,Photography exception surface; storage quotas; upload failure handling,Users lose useful inline context or the inventory sheet bloats into a photo-review tool,document-sheet,sheet-plus-sidecar,Small attachment panel allowed; heavy review remains in Photography,Add-inventory media smoke test,Attachment proof; failure handling proof,Inventory pilot team,mapped
